top - 11:53:40 up 1 day, 16:19,  1 user,  load average: 0.00, 0.00, 0.00
Tasks: 284 total,   1 running, 283 sleeping,   0 stopped,   0 zombie
Cpu(s):  2.3%us,  0.3%sy,  0.0%ni, 97.1%id,  0.2%wa,  0.0%hi,  0.0%si,  0.0%st
Mem:    63.047G total,   14.542G used,   48.505G free,  215.719M buffers
Swap: 8015.996M total,    0.000k used, 8015.996M free,   11.964G cached

  PID USER      PR  NI  VIRT  RES  SHR S %CPU %MEM    TIME+  COMMAND                                                                 
 8149 db2i1own  20   0 12.4g 5.7g 4.8g S  0.0  9.0 384:58.79 db2sysc                                                                 
 8147 root      20   0 1417m 169m  29m S  0.0  0.3   0:00.18 db2syscr                                                                
 8155 root      20   0 1163m 144m 5240 S  0.0  0.2  41:36.17 db2syscr                                                                
 8156 root      20   0 1163m 144m 5212 S  0.0  0.2  41:35.80 db2syscr                                                                
 8157 root      20   0 1163m 144m 5212 S  0.0  0.2  41:35.10 db2syscr                                                                
 8168 db2i1own  20   0 1221m  41m  19m S  0.0  0.1   1:09.97 db2fmp                                                                  
 8159 db2i1own  20   0  490m  40m  28m S  0.0  0.1   0:00.08 db2vend                                                                 
31180 db2i1fnc  20   0  581m  34m  18m S  0.0  0.1   0:01.38 db2fmp                                                                  
16587 db2i1fnc  20   0  581m  34m  18m S  0.0  0.1   0:00.66 db2fmp                                                                  
25506 db2i1fnc  20   0  913m  30m  18m S  0.0  0.0   0:02.24 db2fmp                                                                  
 3458 root      20   0  255m  30m 9348 S  0.0  0.0   0:07.59 Xorg                                                                    
23809 db2i1fnc  20   0  567m  24m  16m S  0.0  0.0   0:00.74 db2fmp                                                                  
23705 db2i1fnc  20   0  567m  24m  16m S  0.0  0.0   0:00.32 db2fmp                                                                  
30848 db2i1fnc  20   0  567m  24m  16m S  0.0  0.0   0:00.28 db2fmp                                                                  
 3613 gdm       20   0  375m  16m  11m S  0.0  0.0   0:04.17 gdm-simple-gree                                                         
23179 db2i1fnc  20   0  508m  16m  10m S  0.0  0.0   0:00.08 db2fmp                                                                  
23121 db2i1fnc  20   0  508m  16m  10m S  0.0  0.0   0:00.14 db2fmp                                                                  
23414 db2i1fnc  20   0  508m  16m  10m S  0.0  0.0   0:00.08 db2fmp                                                                  
 8286 db2i1own  20   0  242m  16m 9.9m S  3.9  0.0   0:00.02 db2                                                                     
 8288 db2i1own  20   0  302m  15m  11m S 17.6  0.0   0:00.09 db2bp                                                                   
18799 db2i1fnc  20   0  518m  15m  10m S  0.0  0.0   0:00.10 db2fmp                                                                  
 3593 gdm       20   0  350m  13m  10m S  0.0  0.0   1:45.66 gnome-settings-                                                         
 2039 root      20   0  116m  12m 9132 S  0.0  0.0   0:21.63 db2fmcd                                                                 
 3603 gdm       20   0  281m  10m 7988 S  0.0  0.0   0:00.96 metacity                                                                
 3612 gdm       20   0  267m 9500 7480 S  0.0  0.0   0:02.66 gnome-power-man                                                         
 3559 gdm       20   0  267m 8808 6920 S  0.0  0.0   0:00.08 gnome-session                                                           
 3614 gdm       20   0  242m 8148 6432 S  0.0  0.0   0:00.02 polkit-gnome-au                                                         
 3589 gdm       20   0  117m 5724 4628 S  0.0  0.0   0:00.74 at-spi-registry                                                         
 3566 gdm       20   0  130m 5552 2348 S  0.0  0.0   0:00.72 gconfd-2                                                                
 4136 root      20   0  102m 5144 3840 S  0.0  0.0   0:00.09 sshd                                                                    
 2248 root      20   0 85248 4912 3856 S  0.0  0.0   0:00.93 NetworkManager                                                          
 7450 root      20   0  102m 4912 3840 S  0.0  0.0   0:00.33 sshd                                                                    
 3617 root      20   0 52888 4604 3192 S  0.0  0.0   0:00.06 polkitd                                                                 
 2382 haldaemo  20   0 39276 4216 3248 S  0.0  0.0   0:01.09 hald                                                                    
 3487 root      20   0 4020m 3872 2396 S  0.0  0.0   0:00.03 console-kit-dae                                                         
 2912 postfix   20   0 81264 3596 2676 S  0.0  0.0   0:00.13 qmgr                                                                    
 3595 gdm       20   0  350m 3584 2824 S  0.0  0.0   0:00.03 bonobo-activati                                                         
 2899 root      20   0 81012 3468 2552 S  0.0  0.0   0:00.73 master                                                                  
 7236 postfix   20   0 81092 3452 2564 S  0.0  0.0   0:00.00 pickup                                                                  
 3455 root      20   0  160m 3420 2820 S  0.0  0.0   0:00.01 gdm-simple-slav                                                         
 2341 root      20   0  184m 3400 2520 S  0.0  0.0   0:00.01 cupsd                                                                   
 3562 root      20   0 50000 3060 2476 S  0.0  0.0   0:00.02 devkit-power-da                                                         
 3626 gdm        9 -11  337m 2940 2224 S  0.0  0.0   0:00.00 pulseaudio                                                              
 2252 root      20   0 58132 2576 2084 S  0.0  0.0   0:00.02 modem-manager                                                           
 2913 root      20   0  178m 2512 1524 S  0.0  0.0   0:00.01 abrtd                                                                   
 4138 root      20   0 57432 2420 1664 S  0.0  0.0   0:00.04 sftp-server                                                             
 3633 root      20   0  138m 2372 1980 S  0.0  0.0   0:00.00 gdm-session-wor                                                         
 3410 root      20   0  130m 2328 2004 S  0.0  0.0   0:00.02 gdm-binary                                                              
 3602 gdm       20   0  132m 2204 1872 S  0.0  0.0   0:00.00 gvfsd                                                                   
11987 ntp       20   0 30740 2156 1540 S  0.0  0.0   0:00.74 ntpd                                                                    
 2163 root      20   0  243m 2036 1072 S  0.0  0.0   0:00.77 rsyslogd                                                                
 2466 root      20   0  377m 1940 1420 S  0.0  0.0   0:02.80 automount                                                               
 7452 root      20   0  105m 1860 1464 S  0.0  0.0   0:00.17 bash                                                                    
    1 root      20   0 19356 1624 1288 S  0.0  0.0   0:01.00 init                                                                    
 2989 root      20   0 64476 1464  720 S  0.0  0.0   0:00.08 certmonger                                                              
 2235 dbus      20   0 21828 1432  728 S  0.0  0.0   0:00.11 dbus-daemon                                                             
 8265 db2i1own  20   0  103m 1404 1124 S  0.0  0.0   0:00.00 dbmon_report.sh                                                         
 2383 root      20   0 20396 1368 1140 S  0.0  0.0   0:00.00 hald-runner                                                             
  677 root      16  -4 11232 1360  436 S  0.0  0.0   0:00.15 udevd                                                                   
 2271 rpcuser   20   0 23352 1348  896 S  0.0  0.0   0:00.00 rpc.statd                                                               
 2429 root      20   0 22516 1300 1116 S  0.0  0.0   0:00.00 hald-addon-inpu                                                         
 2940 root      20   0  114m 1296  644 S  0.0  0.0   0:01.22 crond                                                                   
 8266 root      20   0 15156 1264  840 R  2.0  0.0   0:00.01 top                                                                     
 2802 root      20   0 66288 1240  504 S  0.0  0.0   0:00.02 sshd                                                                    
 3628 rtkit     21   1  164m 1232 1020 S  0.0  0.0   0:03.53 rtkit-daemon                                                            
23373 root      18  -2 11228 1228  308 S  0.0  0.0   0:00.00 udevd                                                                   
 2435 haldaemo  20   0 18004 1152  984 S  0.0  0.0   0:00.00 hald-addon-acpi                                                         
23396 root      20   0 21672  992  388 S  0.0  0.0   0:00.00 rpc.mountd                                                              
 3558 gdm       20   0 21564  968  612 S  0.0  0.0   0:00.01 dbus-daemon                                                             
 2215 rpc       20   0 18980  952  696 S  0.0  0.0   0:00.24 rpcbind                                                                 
 2351 root      20   0 45000  860  540 S  0.0  0.0   0:00.00 wpa_supplicant                                                          
